"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"asc_ruta2",11.4599633717942,3.69043988294123,12.8714639269501,-0.00378770281919888,-0.0430550918593224,0.010732203822117,0.140628063501237,0.138282950764567,0.104919018499074,0.146007918506056,0.243441696977205,-0.0407932405639131,-0.0698124387075689,0.924643662377818,-1.29089681483804,1.64765645872784,-0.679881563761386,0.933267855435821,-1.13555706311506,1.44261126281679,-0.639241813955783,1.00078100170818,-1.140285343976,1.42804450271583,-0.724950468024238,0.924208589597931,-1.00566985426143,1.19961339513815,-0.849340576602415,8.37124328288213,-0.911322968069023,4.09273007365158,-2.80969017601386,8.35803012203982,-0.860034099138428,4.02141385580578,-3.24377014460192,0.100256856258162,0.0794375866479758,-0.109679255606837,0.123728471638107
"asc_ruta3",3.69041478244701,1.64811300091462,4.72756671373777,-0.00536317939176073,-0.0168577955807087,0.00627056776410702,0.0432512492771161,0.0641082131809442,0.0701614569491936,-0.0158295132788015,-0.0287214068088019,-0.0254468232537723,-0.0292379668839788,0.314849137969831,-0.372792546715981,-0.0587655774596346,-0.371215361323725,0.321796305238664,-0.322837908454834,-0.132344830463087,-0.354303393442678,0.368890738545808,-0.30730305066465,-0.171091233249316,-0.36718953511779,0.380134528463062,-0.221095682717684,-0.245107444360307,-0.376623828173139,2.79181231193123,-0.243233864109101,1.64787733559039,-1.20444200962865,2.78136727510852,-0.16135968928066,1.60294161332834,-1.36960718856894,0.0623756203358998,0.032696039892258,-0.00680950218490996,0.0432339602129304
"asc_rutaEC",12.8714153965348,4.72757174935216,16.0517332881099,-0.00999385082848755,-0.0599471658294909,0.0337527076714665,0.129037338322339,0.210577465422682,0.239131710821446,0.0610063792282653,0.138810029124538,-0.0101507966186599,-0.0243546681605589,0.520373440872183,-1.24409926806525,1.19822606683081,-1.02084867871186,0.511702055983962,-1.1297129084937,1.01549718924175,-0.938636806974782,0.62112497236939,-1.08833779483162,0.921373725380087,-1.0163712135238,0.631533535126242,-0.724080225279161,0.687601612014317,-1.08744712052743,10.337221635429,-0.873658112094585,5.17087970937399,-4.13159667341399,10.4001436687398,-0.620922356670799,5.13203466592075,-4.58601269622028,0.194916797903051,0.0997623383306483,-0.0723108030919254,0.124886323878568
"b_tt",-0.00378770283031928,-0.00536317939381326,-0.00999385083025044,0.0013809686724801,-0.00148062795527678,-0.000535832576509103,-0.000902173327803119,0.00133130812653007,-0.00197071678893645,0.00807796749548344,0.00576294441003633,0.00645984105347158,0.00326360496697617,0.0026767129023027,0.000991334390795845,0.00123195738444298,0.00643598468645937,0.00126232658108277,0.000665947996805077,5.37173529310656e-05,0.00323778725644278,0.000640948793752974,-0.00128856459156451,-0.0031992532930769,0.00273714119033066,-0.00235443472452851,-0.00229474771157383,-0.00244349533551911,0.000427486340946173,-0.00354531382996618,-0.000248509754869371,-0.00485148203075117,-0.00526456162213455,-0.000781864839092228,0.000411234000106042,-0.0112400858996361,-0.00421998356844201,-0.00329966192638761,0.000255234193758419,-0.00151272391672365,-0.000164053909851709
"b_dt",-0.0430550918715457,-0.0168577955781463,-0.0599471658459695,-0.00148062795527677,0.0139727409736081,0.000782551562995588,0.00106831101071787,-0.00969917481648656,-0.00163828880956116,-0.0119846685492703,-0.0117942559498665,-0.000643026770129933,0.00219148337294123,0.0152690783676906,0.00827204497633143,-0.0147509014242157,0.00387706687432483,0.0153337845682551,0.00383510413159309,0.00411226998240311,0.00752393685330404,0.0154647053905388,0.00332622951960532,0.0164957744280048,0.0106875816133913,0.0170063782724218,0.00172388575967705,0.0078563060533414,0.0123796174461628,-0.0476163457092156,0.00504052642641173,-0.0166699210333729,0.0295701302632783,-0.0545197721085104,0.00354069318307565,-0.0168030404001745,0.0305464217780899,0.00270828448484477,-2.71770046230092e-05,0.00289692149335814,-0.00498042329374716
"b_CongAB_ruta1",0.0107322037519543,0.00627056776218797,0.0337527076809183,-0.000535832576509105,0.000782551562995539,0.240075706242831,0.0457735753821747,0.0857514241259251,0.0198789968493265,0.096790593067726,0.0232469787348961,0.02592913947888,0.0221304441153968,-0.0500475960892259,0.0238177735364836,-0.0759851923968241,0.00873201909150205,-0.0247068218204294,0.0061090321370759,-0.000278005999545906,-0.0192293342577789,-0.0357147710893872,-0.00206164437965885,0.0109454228397134,-0.022558419986383,-0.00635123218826661,-0.0048084693120781,0.00918469270241834,-0.00394374008228901,0.00894794463164858,0.00171714859063026,0.00761508883621037,-0.0095816298368309,-0.00364507406720998,-0.00193540734136305,0.0198806220767752,-0.0270928681078308,0.00565071761870629,0.00452725675676111,-0.0124730067839591,-0.00240490615879764
"b_CongCD_ruta1",0.140628063566127,0.0432512492696361,0.129037338358583,-0.00090217332780312,0.00106831101071779,0.0457735753821747,0.093618006798715,0.0151950798731597,0.0266243431399526,0.00228508705102917,0.0107164951898991,0.0101404246725958,0.0137526247031597,-0.0107798826590868,-0.0443655930536843,0.0440835394898999,0.00667838651790644,-0.00259650699215685,-0.0138082727283548,0.027829139937337,0.023990030739321,0.00219055493419881,-0.0180176803058516,0.0365644183580074,0.020656428353794,-0.0070714351663809,-0.0171933113140039,0.0392763007023537,0.0178900538433463,0.0788500581371235,-0.0109714133510062,0.0460454669029718,-0.0330307219353727,0.0645273117167144,-0.00631451079090072,0.0568996201634878,-0.0275962610092963,0.0151484342651819,0.00220484182394264,-0.00725010832637041,0.002537259496499
"b_CongAB_ruta2",0.138282950833532,0.0641082131411708,0.210577465398069,0.00133130812653007,-0.00969917481648669,0.0857514241259251,0.0151950798731598,1.31060735275392,0.0810984523168915,0.0939584948593931,0.00967707472919879,0.0168078425215379,0.0252963857342988,0.089394249409103,-0.551669179723819,0.17897873720167,0.07378708140495,0.0338434228298047,0.00230666142822984,0.0583732712406098,-0.0321833520168458,0.0294735782471149,-0.0251488790155454,0.0276519986071169,-0.0258891610161147,0.0533398732340117,-0.0135829401904526,-0.0134085998947293,-0.0456147392225212,0.131696009405058,-0.0012453950787187,0.0666469506844924,-0.0201768354072087,0.0378105341180312,0.0245620799626437,0.112305031457927,-0.129038471222816,0.0383219623993448,0.0126612512464316,-0.00531075281133891,0.0110402674815984
"b_CongCD_ruta2",0.104919018586088,0.070161456932013,0.239131710817528,-0.00197071678893644,-0.00163828880956128,0.0198789968493265,0.0266243431399527,0.0810984523168914,0.192310183200564,0.0129545442226319,0.0120743135828183,-0.0135737340058758,0.00620766248198739,-0.00284916603064297,-0.0720691977903715,0.0411191001161425,-0.0082002085079583,-0.0100148626283221,0.000758792023594151,0.0238646845628966,-0.00636866832174747,0.00718860142015719,0.00999107774536522,0.0361077550240423,0.00238342671475739,0.005211265307709,0.029888470322822,0.0412657517357923,-0.0068903609213053,0.161469542629677,0.00991799972587354,0.0742150042066198,-0.0493249801098532,0.159795248826592,0.0273153755959479,0.118144026041275,-0.0496634292144613,0.0146656162589601,-0.00404142710742889,0.00895731274384112,0.0189954756068693
"b_CongAB_ruta3",0.146007916051751,-0.0158295112509401,0.0610063852782522,0.00807796749548265,-0.0119846685492671,0.0967905930677268,0.00228508705102267,0.0939584948593886,0.0129545442226352,0.397874741063983,0.151197072264525,0.024535459579006,0.0138926972531139,0.043237946124472,0.024553527540357,-0.170419659319573,0.0487705306279976,0.00748358677462663,-0.0082583067029343,-0.0740504932920289,0.00473057008163158,-0.00928004650627795,-0.0402116653750763,0.0242369369716214,-0.0263141301545727,-0.0117076809867852,-0.0495924357745154,0.0360765401626621,-0.0413990883474798,0.0956497102652892,-0.0276663030989417,-0.0258086888680623,0.0150017096612348,0.107652648034984,-0.0236457780558663,0.0549207938901036,0.000650129687272193,-0.0298856673050706,-0.00495911265150656,-0.0287542557241114,0.0295900703856999
"b_CongCD_ruta3",0.243441697310486,-0.028721406832563,0.138810029187915,0.00576294441003632,-0.0117942559498666,0.0232469787348959,0.0107164951898991,0.00967707472919844,0.012074313582818,0.151197072264556,0.306319424663894,0.0413964425607678,0.0222376554846809,-0.00115676412216557,-0.0299652763201944,0.104938081038003,-0.0226086971170548,-0.0101506045974456,-0.0281317677545557,0.0322852965389951,-0.0161706992982455,-0.0213621246282162,-0.048033146665696,0.122281933080479,-0.0471016048964762,-0.0404370429992893,-0.0542047889321666,0.0228167089834044,-0.0723620076671417,0.189580838965929,-0.0377931461331058,0.00356711744640671,0.0278909744472589,0.195688891977665,-0.0354187215280046,-0.0232765587903418,0.0377589069728928,-0.0226746999015156,0.0181466770398627,-0.0233323734613974,0.0195183578749674
"b_CongAB_rutaEC",-0.0407932409007819,-0.0254468233120046,-0.0101507966653572,0.00645984105347158,-0.000643026770130208,0.0259291394788801,0.0101404246725961,0.0168078425215379,-0.013573734005876,0.0245354595790217,0.0413964425607678,0.213107303146006,0.167020662069643,-0.0117711376253633,0.0167236927765975,-0.0103985323249057,-0.014330821826709,-0.00882997261215316,0.0195000929306164,0.0122471148111834,-0.0154263333378958,-0.0266487105222986,0.00952703056926064,0.00212427413232232,-0.012144928747517,-0.0319384276843917,0.0386557742358646,0.00670272183198023,-0.00118016449093713,0.00966323209721867,0.0156696027318293,-0.0119984430583455,-0.170978108260756,-0.00591111967682837,-0.0103649210146164,-0.0245387863854592,-0.156028490949426,-0.00118841476300352,0.00828227640863286,-0.0178780467289489,-0.00757140271006285
"b_CongCD_rutaEC",-0.0698124389741588,-0.0292379669551547,-0.0243546681936029,0.00326360496697617,0.00219148337294095,0.0221304441153969,0.0137526247031599,0.0252963857342988,0.00620766248198718,0.0138926972531338,0.022237655484681,0.167020662069643,0.231049052702135,-0.0184289031407015,0.0139800690739208,-0.0110366918278336,0.0035368186712642,-0.0191536632316522,0.0216485869099874,0.0338944288925872,0.0127122353254119,-0.0155930326785,0.0180165158568795,0.0102164233131749,0.0181275533910611,-0.0188679727125349,0.0453495212563397,0.0233284358738523,0.0364000249967426,-0.00868988172023984,0.02245367161022,-0.0141332396437458,-0.175691959034629,-0.0209003426460209,0.0154719281193404,0.00756654607229346,-0.147399604251811,0.0116099363423694,0.0069128466367908,-0.00262133543341779,-0.0249468244804718
"b_Sem_0_ruta1",0.924643662146485,0.314849138187237,0.520373441535533,0.00267671290230269,0.0152690783676908,-0.0500475960892256,-0.0107798826590876,0.0893942494091024,-0.00284916603064384,0.0432379461243939,-0.00115676412216932,-0.0117711376253636,-0.0184289031407026,0.860420064290196,-0.144000436267118,0.0682528149322999,0.218872223997236,0.690294572209369,-0.119659571784074,0.0877163565334388,0.150939530563321,0.669670095556518,-0.169656590343262,0.107556519383468,0.124942930899206,0.620078815799284,-0.201875108734104,0.100769502548727,0.0279674673829353,0.00522905078282361,-0.104642125499902,0.251206614225738,0.0524861365446033,-0.0242371215655754,-0.0853566068546193,0.145908163364948,-0.0489372924424433,-0.00345704118293728,0.0110001758982945,-0.000340377419394904,0.0237741261578637
"b_Sem_0_ruta2",-1.29095898648168,-0.372787783826892,-1.24410001770767,0.00099133439086431,0.00827204496540999,0.0238177735237145,-0.0443655930909718,-0.551669179588176,-0.0720691977466843,0.0245535134477553,-0.0299652762966087,0.0167236928722406,0.0139800691748064,-0.144000437407393,1.32699685434015,-0.282431989648612,0.0898356158481344,-0.14408080716115,0.18005062315014,-0.196059973397989,0.0776236765104096,-0.167095402126349,0.16361413022541,-0.187816806250444,0.0773308403460752,-0.137764010870139,0.237867030376097,-0.14251869168426,0.0913489610059847,-0.815698325100648,0.117386197901907,-0.406105238107627,0.178090721350653,-0.782336659347522,0.154389640295292,-0.389583307172849,0.26434803581407,-0.00857775715923434,-0.0153504211086514,0.0186173856045788,-0.000178855442630307
"b_Sem_0_ruta3",1.64765645970684,-0.0587655776305415,1.19822606690546,0.00123195738444301,-0.0147509014242163,-0.0759851923968242,0.0440835394899003,0.178978737201669,0.0411191001161422,-0.17041965931939,0.104938081038004,-0.0103985323249064,-0.011036691827835,0.0682528149323064,-0.282431989084029,2.1630371349064,0.156244034984087,0.12730474099916,-0.195700259961455,1.07574157732218,0.13597837583471,0.0665953751147302,-0.227284478754182,1.07546212358178,0.117062257670857,0.0166640135825899,-0.199546683014125,1.10554757975682,0.0521760758526287,1.16898831819973,-0.17440033531064,0.188729274421035,-0.0535532846742622,1.16016312731257,-0.189678908182016,0.266272956255681,-0.0898486466368176,-0.0219034401684031,0.0179124798025146,-0.0480071506023838,0.0401914656377044
"b_Sem_0_rutaEC",-0.679881564960139,-0.371215361432543,-1.02084867910108,0.00643598468645933,0.00387706687432442,0.00873201909150301,0.00667838651790784,0.0737870814049513,-0.00820020850795652,0.0487705306279692,-0.0226086971170529,-0.0143308218267091,0.00353681867126367,0.218872223997228,0.0898356158357878,0.156244034984093,0.708671192762838,0.115636976430174,0.0730973778913409,0.137110218398896,0.43701250836764,0.0968249525083969,0.0294607365454373,0.105455283836282,0.39679998513593,0.0243066298736687,0.00128133885699667,0.211132716216461,0.376606598143041,-0.699511264731885,0.046169956344651,-0.359346463304774,0.0126409822092301,-0.648794421287632,0.066011132204179,-0.413452383200837,0.162699106548137,-0.0035399940424853,-0.013468014298212,-0.00356516585155608,0.0140416999964866
"b_Sem_1_ruta1",0.933267855208974,0.321796305313253,0.511702056424163,0.00126232658108273,0.0153337845682549,-0.0247068218204289,-0.00259650699215698,0.0338434228298049,-0.0100148626283215,0.00748358677461021,-0.0101506045974476,-0.00882997261215388,-0.0191536632316537,0.690294572209369,-0.144080806251978,0.127304740999163,0.115636976430171,0.730688015482501,-0.130636268672964,0.0980722693481296,0.115700719439952,0.657782125825668,-0.166662993908966,0.112924750412842,0.107151223928528,0.617919081129058,-0.200186069294605,0.106360223741669,0.0196558089495934,0.010791105318192,-0.109359280932314,0.257794333943083,0.080925640587605,-0.0302686645920384,-0.104917021592525,0.164361127305702,-0.0234983771617939,-0.0181574889382951,0.00820929199723009,0.00361564651342228,0.000138952371898497
"b_Sem_1_ruta2",-1.13546891163768,-0.322835930412361,-1.12971744967522,0.000665948000094924,0.00383510417182655,0.00610903207833396,-0.0138082727901597,0.00230666134088057,0.000758791778582724,-0.00825831262409908,-0.0281317677952669,0.0195000930616354,0.0216485870111994,-0.11965957236694,0.179992277921779,-0.195700260006494,0.0730973786571816,-0.130636269047366,0.192704027949878,-0.182045989650171,0.0642577423120037,-0.148019541792121,0.0874191206166971,-0.183509480952854,0.061572053055951,-0.128480401554638,0.161455783987622,-0.168377104981205,0.0681377805028588,-0.742100247378793,0.10744799552229,-0.355935324544408,0.17472719006721,-0.738135203197498,0.138806080246443,-0.387229516849447,0.220232694243611,0.000296855917783379,-0.00188158219895582,0.0167535193079193,0.00154451452305604
"b_Sem_1_ruta3",1.44261126280287,-0.13234483004185,1.01549719050325,5.37173529309556e-05,0.00411226998240419,-0.000278005999546818,0.0278291399373343,0.0583732712406067,0.0238646845628949,-0.0740504932921747,0.0322852965389872,0.0122471148111802,0.0338944288925828,0.0877163565334412,-0.196059971571076,1.07574157732214,0.13711021839891,0.0980722693481228,-0.182045988311133,1.3421924008542,0.142727027272844,0.0779157393185472,-0.185758656956971,1.10072192770348,0.141392298811914,0.034922302945995,-0.151205115368127,1.13431208195422,0.0828240129904559,1.02803196743117,-0.14429735849714,0.131004399201784,-0.0399422156374158,1.03422725178581,-0.163174720748371,0.157395182573807,-0.0542915267358475,0.00213356640287029,-0.001384514688697,-0.0369950591745917,-0.0056461765308433
