"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt_ruta1","b_tt_ruta2","b_tt_ruta3","b_tt_rutaEC","b_dt_ruta1","b_dt_ruta2","b_dt_ruta3","b_dt_rutaEC","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC"
"asc_ruta2",15807.4681386897,15787.8024202881,15790.8272782214,-0.0215323627653627,0.0147181104745656,-0.0408021231063595,0.0363834816140605,-0.0199895845512465,0.0125112333227798,-0.16052909904178,-0.235275020302972,-0.106326947506336,-0.0529517526251064,0.187581295716394,0.0247592165870301,-0.173346997923471,-0.0207929557224732,-0.0535183764076582,-0.0447119121519178,0.143500214166489,9.18339199809585,-0.728845612645479,0.588254971066746,0.357709128530138,10.1483733593852,-0.578532849907157,0.542457952639703,0.390078752765421,10.361213037745,-0.664763235790132,0.56629391381519,0.0950010868514581,9.31195322423297,-0.242774722700684,0.342895570860474,-15789.1118854641,1.77202524586691,0.396658668197607,1.00904395553568,-15788.9661291147,1.89051133828718,0.370455653467738,1.06521285251399
"asc_ruta3",15787.8024202881,15795.3130675999,15788.4777160856,-0.0282632327245892,-0.0180667818532023,0.060237273477849,-0.0204411600027456,-0.0153207321014782,-0.00870559537715055,0.0664899986148526,-0.0478573189057038,-0.00359375260586572,-0.0072053224924785,0.0128391509390721,-0.00484766298292327,0.145549200847609,0.0559081758802298,-0.0016822869188028,0.00831965283303759,-0.203429829341951,-0.836777656538746,0.678658053025348,-0.193751674933041,-0.184890007437059,-0.959584496418922,0.676577584831418,-0.181248013495894,-0.15457729876213,-0.958831467737406,0.620886333529553,-0.172010328976607,-0.149742617050219,-0.837383561727487,0.617487173622285,-0.155199923547198,-15790.6930346929,-1.94910792749625,-0.39204802911032,-1.88069312135412,-15790.5339207901,-1.92768912016911,-0.249915543684914,-1.87715716937794
"asc_rutaEC",15790.8272782214,15788.4777160856,15792.1128483726,-0.0200812108668035,0.00121753034594883,-0.0214963390763376,0.0235153574168947,0.0257981430149842,0.00457829998390885,0.0104008400288835,0.0891919377512779,-0.0338745525816238,-0.0169968001222341,0.0370494172233618,0.0277486098965918,-0.0397302459527561,0.0518892780100705,-0.0005791306957783,-0.00264372387712083,-0.168933426776467,-0.0199180562014331,-0.217818502276881,0.10578450852487,-0.102508348908443,0.0419953291007319,-0.192671634494287,0.0903415346703009,-0.0895657283179768,0.0582174715913139,-0.181305228385588,0.0928436549623554,-0.118469511373311,-0.0168734726282686,-0.190050529244443,0.0952317947791236,-15788.5207575412,1.69636046994246,0.998317191119276,1.89571193772253,-15788.3819698126,1.71381893507233,0.935439250089603,1.92445595926188
"b_tt_ruta1",-0.0215323627653627,-0.0282632327245892,-0.0200812108668035,0.003988634006684,0.00153917634908712,-0.000973561813816969,-0.00184224392620871,-0.002157374235407,-0.000641934179254224,-0.00123990219571457,-0.0021986524846196,0.00339218710973878,0.00153582407922736,-0.000367827605362373,-0.000321677751997033,0.000786414057043793,-0.00145525066985625,0.00141631074612185,0.000411975270609373,0.0069873787775496,0.00915041233996548,-0.00056850477832625,0.00119591282326659,0.00372947414579724,0.00916724830845731,0.000121480194714874,0.000923966914277729,0.002423393682756,0.00968032387027259,0.000595627432445844,0.000679233689748099,0.00276308387968901,0.00838669275022706,0.000182161328080404,0.000592781537799112,-0.0286137444391201,-0.0221339007655262,-0.0101918131463158,-0.0074853594975337,-0.0279701330258231,-0.0233743352903835,-0.0111953889835151,-0.00838110494050972
"b_tt_ruta2",0.0147181104745656,-0.0180667818532023,0.00121753034594883,0.00153917634908712,0.00152371340568314,-0.00117557886219851,0.000248242916010417,-0.000590707909134031,-0.000684664183705396,-0.000196741523066184,-0.00125668850243722,-0.000533834164461569,-0.000849806134498107,0.00192023545266511,0.00073234307214713,-0.000422099593320376,-0.000501793447009988,0.00114767376267509,0.000121660245162955,0.000191795105557349,0.00299897297830818,-0.00120316122249982,0.00164688422432285,-0.000354290226949658,0.00243686467168038,-0.000745106194649153,0.000436060527897277,-0.000115721098884231,0.00241713997489686,-0.0012284973999604,0.000131592482182257,-0.000251798589227387,0.00182344759734115,-0.00104008106576722,-0.000423358578099387,-0.000700018042066231,0.00130535615695052,-0.00359664672952577,-0.00140279239415852,-0.000326303955290273,0.00101397668916282,-0.00395737714551183,-0.00155129750427
"b_tt_ruta3",-0.0408021231063595,0.060237273477849,-0.0214963390763376,-0.000973561813816969,-0.00117557886219851,0.00648228693133736,-0.00206544207913014,-0.0015344848585541,-0.000394028927378454,-0.00464080488232554,-0.00172088023784871,0.00159227898362358,0.00100564431442062,-0.00142466294228413,-0.000713030071529381,0.00811541341657543,0.00378968497605426,0.00470706301465669,0.00408942768166061,0.00425892507244795,-0.0046750661688991,0.00808338569011357,-0.00130515128653904,0.00256323264364445,-0.00576783893132324,0.00612251213580524,-0.000804089154994847,0.00217778601714751,-0.00628867572137546,0.00590589548516753,-0.000492179874569231,0.00420273690083882,-0.00553595918806646,0.00233691793781359,0.00140679264320426,-0.00800265171382488,-0.0281512854005291,-0.009318150093284,-0.02103633157584,-0.00623193730660682,-0.0289640749173843,-0.0114218882598973,-0.0229795449326827
"b_tt_rutaEC",0.0363834816140605,-0.0204411600027456,0.0235153574168947,-0.00184224392620871,0.000248242916010417,-0.00206544207913014,0.0055620548101762,0.00110600450625563,-0.000314974485813619,0.00110749057929906,0.000408927013098564,-0.00350986163546827,-0.00230130755095266,0.00240896686164832,0.00100734469791263,-0.00175207632040197,-1.30336435954708e-05,0.00035289167074721,-4.51305168897514e-06,-0.0048986225779794,-0.00022783039185125,-0.00255707240932415,0.00215162702330714,-0.00305364263760124,-0.000319744615545854,-0.0024194747416401,-0.000391958587298816,-0.00183527786616045,-0.000851890037249727,-0.00329384269002032,-0.000534520003810503,-0.00252420232901775,-0.00108596117882722,-0.00207750690164895,-0.00152691150259511,0.0308117264463276,0.0239432393917837,0.0043835559278775,0.0056289335846539,0.0300546567832282,0.0245470845463732,0.00533510310228772,0.00564445788331569
"b_dt_ruta1",-0.0199895845512465,-0.0153207321014782,0.0257981430149842,-0.002157374235407,-0.000590707909134031,-0.0015344848585541,0.00110600450625563,0.008510605457342,0.00341322441953838,0.014547221637013,0.0182879092894317,-0.00284065165853986,-0.00163235283189077,-0.000271589148163425,0.000894436080281137,-0.0051499085160419,-0.000682864852487985,-0.000423800389346613,-0.000301270430409241,-4.14039946195877e-05,-0.0109466135254356,-0.0084821041979588,0.00275588142055971,0.00261196632651914,-0.00617241964621932,-0.00674028071003435,0.00329342807423219,0.0018537843586143,-0.00434219496471559,-0.00522720054219174,0.00290735914066564,0.000617826378278824,0.00238937726681579,-0.00446438372899233,0.00139844108991935,0.00404633417310124,0.0195509112110177,0.00508045215040084,0.00943873068175655,-0.000656636210668175,0.0235738981224769,0.00535469217976938,0.0109987941669438
"b_dt_ruta2",0.0125112333227798,-0.00870559537715055,0.00457829998390885,-0.000641934179254224,-0.000684664183705396,-0.000394028927378454,-0.000314974485813619,0.00341322441953838,0.0035964728359401,0.00341727377202951,0.00443203957103068,-0.000331057804122077,-6.16143401623691e-05,-0.0040296580438185,-0.00142860225454092,-0.00257367233539643,-0.000918010286222129,-0.000585808571497377,-0.000268315655790829,0.00186695890574503,0.0122693318860483,-0.00468465144579147,0.00249197995274626,0.00351291031253948,0.0127724102820967,-0.00390208597109957,0.00282745902896904,0.00267965821318362,0.0123312602817167,-0.00252355740719884,0.00275997236087298,0.00184920798353453,0.0114730100149965,-0.00195534279470983,0.00168681366115154,-0.00417764494480833,-0.00389182425588589,-0.00376170141594164,-0.00162051764312973,-0.00565488984020032,-0.00410529841177181,-0.00411060345262132,-0.000878921213867168
"b_dt_ruta3",-0.16052909904178,0.0664899986148526,0.0104008400288835,-0.00123990219571457,-0.000196741523066184,-0.00464080488232554,0.00110749057929906,0.014547221637013,0.00341727377202951,0.0523153773381947,0.0445647811661063,-0.000293926598725193,-0.000743706886794227,0.00738649997132047,0.00419688938873185,0.000326744074070022,-0.0057649864800548,-0.000581567658135611,-0.000759229493751781,-0.00389815489625781,-0.0568306616611062,-0.0043929763333568,0.00263685900379288,0.000355218503862202,-0.0440644299546417,-0.00843233452701017,0.00288520423559457,-0.00107384015177176,-0.037155971612426,-0.00867371534898545,0.00177235550590196,-0.0028323842919674,-0.0137009042931363,-0.014779551156689,-0.000696170745723907,-0.0215679061605069,-0.0126737858458656,-0.0154559945389704,-0.0264183518641097,-0.0288780635313933,0.00016192929365891,-0.0124441407498467,-0.0237414944842391
"b_dt_rutaEC",-0.235275020302972,-0.0478573189057038,0.0891919377512779,-0.0021986524846196,-0.00125668850243722,-0.00172088023784871,0.000408927013098564,0.0182879092894317,0.00443203957103068,0.0445647811661063,0.0675254778954762,0.00122650564981578,0.000205014901657406,0.00621514861455516,0.00526452093320006,-0.00359828536055636,-0.000259770774540086,0.00583203624412968,0.00478541646963785,-0.00183568665958236,-0.0826836296237608,-0.0143020669922118,0.0101161520057546,0.00297847433135102,-0.0660112710846305,-0.0101815554589876,0.00714866566374159,0.000521845259309761,-0.0567711696038086,-0.006339835749958,0.0060190795448378,-0.000861075091581825,-0.0282738485682635,-0.00843746106585365,0.00198811137908164,0.0247131108040153,0.0383618956519115,0.018845890263019,0.036074656106732,0.0144479726168079,0.0527607150367273,0.0174953211503049,0.0370970415339644
"b_CongAB_ruta1",-0.106326947506336,-0.00359375260586572,-0.0338745525816238,0.00339218710973878,-0.000533834164461569,0.00159227898362358,-0.00350986163546827,-0.00284065165853986,-0.000331057804122077,-0.000293926598725193,0.00122650564981578,0.0606102849777322,0.0148295858611787,0.0248967056019991,0.00703666521145024,0.0405785038164473,0.00475465092000637,0.00698789136497753,0.00473614852900099,0.00178839502870859,0.00172322512239875,0.0045272744624892,0.00510050587992775,0.00260239446395217,0.00493819382458908,0.00355928354424311,0.00110995304876438,-0.0011601396534808,0.00561832075383655,0.00376296087458212,-0.0012060793972701,0.00452289811365611,0.00520573446985535,0.00204568989459225,0.00211995608939448,-0.037492705731408,-0.0590191438161505,-0.0168071006681115,-0.0178344988086185,-0.0373915460627931,-0.0585876820666051,-0.0176059232213093,-0.0200497080717476
"b_CongCD_ruta1",-0.0529517526251064,-0.0072053224924785,-0.0169968001222341,0.00153582407922736,-0.000849806134498107,0.00100564431442062,-0.00230130755095266,-0.00163235283189077,-6.16143401623691e-05,-0.000743706886794227,0.000205014901657406,0.0148295858611787,0.0210088614499711,0.00442575822763417,0.00763252767138921,0.00504930694796312,0.00497824429832251,0.00153608927137093,0.00375336834916187,0.00398189186909507,0.00544195854718324,0.00130017729971099,0.00144753773448122,0.00525574286135283,0.00903630706947211,0.00164648728452685,0.00438354515204422,0.00319254299638929,0.00956312873195615,0.0032433796456354,0.00357471610491021,0.00398884930097543,0.00783484391265922,0.00199053326673577,0.00382843823396244,-0.0259301011526772,-0.024188393266871,-0.00155538976967604,0.000583140728885109,-0.029190770763746,-0.0237508642603928,-0.00217638982992371,0.000520403314682266
"b_CongAB_ruta2",0.187581295716394,0.0128391509390721,0.0370494172233618,-0.000367827605362373,0.00192023545266511,-0.00142466294228413,0.00240896686164832,-0.000271589148163425,-0.0040296580438185,0.00738649997132047,0.00621514861455516,0.0248967056019991,0.00442575822763417,0.268511703836217,0.0286911993442811,-0.00863936332934146,0.012483617591984,0.00743799815678001,0.00528372632064868,-0.0109852677813636,0.00301940327808354,-0.0126852527651549,0.00125346702757672,-0.00309895442943442,0.0857200312350014,-0.00917888975399472,0.00555280695029473,-0.00268501911774009,0.104608244517856,-0.0114243437640269,0.00560031410160078,-0.00661239715474797,0.102644705951111,-0.00484405526492113,0.0053454434016913,0.0422320203736526,0.0232709866858604,0.0136147496486945,0.00658782176125117,0.0477598088041907,0.0359226244093531,0.0203807500103711,0.00782441011380238
"b_CongCD_ruta2",0.0247592165870301,-0.00484766298292327,0.0277486098965918,-0.000321677751997033,0.00073234307214713,-0.000713030071529381,0.00100734469791263,0.000894436080281137,-0.00142860225454092,0.00419688938873185,0.00526452093320006,0.00703666521145024,0.00763252767138921,0.0286911993442811,0.0516824314492364,-0.00900391671200894,0.0114891310114497,0.00381871984047153,0.00316556059170317,-0.00635145662453957,0.0108388017878034,-0.00754231078682526,0.00241801768354545,-0.00109312333834226,0.014705738289272,-0.00441850882960146,0.00231216341050957,5.70663535742075e-05,0.0244150752193656,-0.00298232852190646,0.00249395645756839,-0.000648173990855763,0.0252194868807495,-0.00379802371766171,0.00251305497470859,0.0280247990244687,-0.00437165543286351,0.00583857348659231,0.00784872801693978,0.0248342586406096,0.00105321699381462,0.00503973170150237,0.00740405616584379
"b_CongAB_ruta3",-0.173346997923471,0.145549200847609,-0.0397302459527561,0.000786414057043793,-0.000422099593320376,0.00811541341657543,-0.00175207632040197,-0.0051499085160419,-0.00257367233539643,0.000326744074070022,-0.00359828536055636,0.0405785038164473,0.00504930694796312,-0.00863936332934146,-0.00900391671200894,5.8033796320506,0.0368851828226337,0.0234440214467452,-0.00935705775381459,0.00703558823768298,0.0298599989207402,0.00358550916738615,-0.000352276677883017,0.00251271545301766,-0.0664841406247901,-0.00951670940393707,-0.00856730586449176,-0.00728760384571237,-0.0765955908709317,0.00947280545356236,-0.0127853859474311,-0.000216462564653521,-0.0772802389459341,0.00604916486015631,-0.00958944424104062,-0.0164946785767811,-0.0472293568355349,-0.0251650477888937,-0.040888493636941,-0.0218163309312346,-0.0609023399954458,-0.0185300639671214,-0.043981853321219
"b_CongCD_ruta3",-0.0207929557224732,0.0559081758802298,0.0518892780100705,-0.00145525066985625,-0.000501793447009988,0.00378968497605426,-1.30336435954708e-05,-0.000682864852487985,-0.000918010286222129,-0.0057649864800548,-0.000259770774540086,0.00475465092000637,0.00497824429832251,0.012483617591984,0.0114891310114497,0.0368851828226337,0.0887408185738866,0.00158809798355051,0.00167255373974149,-0.000786155928994055,-0.032582077196069,-0.00886732448262529,-0.00137276985292775,0.000460519185612035,-0.0339526891432059,-9.2796230067262e-05,5.38333486341343e-05,-0.000357770385577174,-0.0335567456261679,0.0135211795043926,-0.000500810390405142,0.00121450477393562,-0.0343036415323023,0.00234440750272046,-0.000477898334102717,0.034829366182148,0.0470863334210562,0.032854554387287,0.0543248255095185,0.0408607096350853,0.0436001853039974,0.0367276820815799,0.053526275017123
"b_CongAB_rutaEC",-0.0535183764076582,-0.0016822869188028,-0.0005791306957783,0.00141631074612185,0.00114767376267509,0.00470706301465669,0.00035289167074721,-0.000423800389346613,-0.000585808571497377,-0.000581567658135611,0.00583203624412968,0.00698789136497753,0.00153608927137093,0.00743799815678001,0.00381871984047153,0.0234440214467452,0.00158809798355051,0.0537710323939157,0.0422078460767382,0.00585585734670796,0.0265167994103864,-0.00101990104737804,0.00598162133930148,0.00678832862556474,0.0324360219984063,-0.000561353380376595,0.00544171392383854,0.00322157792850365,0.0321973456271402,-0.00278352941518418,0.00472852247661396,0.00842853730046379,0.0292080045516894,-0.00318453481855466,0.0112246351570721,0.023027824675399,-0.0570907474981594,-0.0288754560132201,-0.0589461597907404,0.0154104542226208,-0.0620848587433351,-0.034389015046271,-0.0550243898232216
"b_CongCD_rutaEC",-0.0447119121519178,0.00831965283303759,-0.00264372387712083,0.000411975270609373,0.000121660245162955,0.00408942768166061,-4.51305168897514e-06,-0.000301270430409241,-0.000268315655790829,-0.000759229493751781,0.00478541646963785,0.00473614852900099,0.00375336834916187,0.00528372632064868,0.00316556059170317,-0.00935705775381459,0.00167255373974149,0.0422078460767382,0.0603484555045585,0.00359812761772523,0.0232351803453645,-0.00167713495261581,0.00508240108129878,0.00654652806192843,0.0317966144329315,0.000625239287716202,0.0063663482767615,0.00449856830103562,0.0324652872884572,-0.00139028401458031,0.00705094705421588,0.0114748509086876,0.0297573506577867,2.10636106196686e-05,0.0164977088490063,0.0194743055305453,-0.048976633911546,-0.0213106395000881,-0.0533899375406813,0.0156328877697259,-0.0500607354099215,-0.0218517554688052,-0.0471652269634184
"b_Sem_0_ruta1",0.143500214166489,-0.203429829341951,-0.168933426776467,0.0069873787775496,0.000191795105557349,0.00425892507244795,-0.0048986225779794,-4.14039946195877e-05,0.00186695890574503,-0.00389815489625781,-0.00183568665958236,0.00178839502870859,0.00398189186909507,-0.0109852677813636,-0.00635145662453957,0.00703558823768298,-0.000786155928994055,0.00585585734670796,0.00359812761772523,0.239758501929639,0.340973976995844,0.0299079473679301,0.101015615931026,0.186415942051306,0.346773052575843,0.00441341024671914,0.0881809188089335,0.170757962600005,0.342398449336171,0.0158068169172957,0.0786948637439175,0.164302728665074,0.31005337389264,0.0146426394622064,0.0592693933825597,-0.255173688030866,-0.111985745368395,-0.0524444653646878,-0.0560924871715786,-0.256958327645858,-0.113293896115825,-0.060851654753032,-0.0736974336994686
