"ViajeId"	"MUESTRA"	"VALIDAR"	"GENERO"	"TIEMPO_PROFESION"	"HORAS_TRABAJO"	"NIVEL_EDUCATIVO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"CONG_A1"	"DISTAlt2"	"TIEMPOAlt2"	"CONG_A2"	"DISTAlt3"	"TIEMPOAlt3"	"CONG_A3"	"DISTEC"	"TIEMPOEC"	"Semaf_A1"	"Semaf_A2"	"Semaf_A3"	"Semaf_EC"	"CamFD_A1"	"CamFD_A2"	"CamFD_A3"	"CamFD_EC"	"ZER_A1"	"ZER_A2"	"ZER_A3"	"ZER_EC"	"MtrP_A1"	"MtrP_A2"	"MtrP_A3"	"MtrP_EC"	"Acc_EC"	"Acc_A1"	"Acc_A2"	"Acc_A3"	"Paneles_EC"	"Paneles_A1"	"Paneles_A2"	"Paneles_A3"	"INFOTRAFICO"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"COSTO"	"CHOICE"	"Experiencia"	"PasoPeaton"	"UsoPito"	"CinSeg"	"FRbr"	"UsoDirec"	"EnfCond"	"AFrSem"	"CulFr"	"OmLmVel"	"IgPare"	"UsoCel"	"ComVrb"	"Ans"	"ComAfec"	"PrPer"	"AmbTr"	"StrC"	"ConCl"	"DispMob"	"Satisf_DispMob"	"JOVEN30"	"ADULTO40"	"ADULTO60"	"ADULTOMAYOR"	"EDUBASICA"	"EDUSUP"	"EDUNR"	"HPICO"	"HVALLE"	"CSECO"	"CLLUVIA"	"CONG_AB_A1"	"CONG_CD_A1"	"CONG_EF_A1"	"CONG_AB_A2"	"CONG_CD_A2"	"CONG_EF_A2"	"CONG_AB_A3"	"CONG_CD_A3"	"CONG_EF_A3"	"CONG_AB_EC"	"CONG_CD_EC"	"CONG_EF_EC"	"SININFOTRF"	"CONINFOTRF"	"USOCINTURON"	"NOUSOCINTURON"	"USODISPMOB"	"NOUSODISPMOB"	"NO_MTRP_A1"	"NO_MTRP_A2"	"NO_MTRP_A3"	"NO_MTRP_EC"	"SI_MTRP_A1"	"SI_MTRP_A2"	"SI_MTRP_A3"	"SI_MTRP_EC"	"NO_ZER_A1"	"NO_ZER_A2"	"NO_ZER_A3"	"NO_ZER_EC"	"SI_ZER_A1"	"SI_ZER_A2"	"SI_ZER_A3"	"SI_ZER_EC"	"HTRB_1"	"HTRB_2"	"HTRB_3"	"SEMF_A1_1"	"SEMF_A1_2"	"SEMF_A1_3"	"SEMF_A2_1"	"SEMF_A2_2"	"SEMF_A2_3"	"SEMF_A3_1"	"SEMF_A3_2"	"SEMF_A3_3"	"SEMF_EC_1"	"SEMF_EC_2"	"SEMF_EC_3"	"NO_CAMFD_A1"	"SI_CAMFD_A1"	"NO_CAMFD_A2"	"SI_CAMFD_A2"	"NO_CAMFD_A3"	"SI_CAMFD_A3"	"NO_CAMFD_EC"	"SI_CAMFD_EC"	"ACC_A1_0"	"ACC_A1_1"	"ACC_A1_2"	"ACC_A2_0"	"ACC_A2_1"	"ACC_A2_2"	"ACC_A3_0"	"ACC_A3_1"	"ACC_A3_2"	"ACC_EC_0"	"ACC_EC_1"	"ACC_EC_2"	"NO_PANEL_A1"	"SI_PANEL_A1"	"NO_PANEL_A2"	"SI_PANEL_A2"	"NO_PANEL_A3"	"SI_PANEL_A3"	"NO_PANEL_EC"	"SI_PANEL_EC"	"EXP_1"	"EXP_2"	"EXP_3"	"EXP_4"	"EXP_5"	"SEM_A1_km"	"SEM_A2_km"	"SEM_A3_km"	"SEM_EC_km"	"Panel_A1_km"	"Panel_A2_km"	"Panel_A3_km"	"Panel_EC_km"	"ZER_A1_km"	"ZER_A2_km"	"ZER_A3_km"	"ZER_EC_km"
"1"	"{00793F3F-F1CC-E811-914C-74867AD5B714}"	0	1	1	10	14	1	4	10.1	24	2	11.1	27	3	8.4	30	3	7.73476294124306	22.1199999968211	21	20	21	18	3	2	5	5	0	0	1	0	2	2	1	1	0	0	0	0	0	2	0	0	1	2	2	1	1	2	1	14800	3	4	5	2	1	2	4	2	2	2	2	2	4	1	3	2	2	2	3	1	3	2	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	2.07920792079208	1.8018018018018	2.5	2.32715600164305	0.198019801980198	0	0	0	0	0	0.119047619047619	0
"3"	"{01579974-02D2-E811-8FB7-74867AD5B714}"	0	1	1	10	12	4	2	5.8	18	3	5.4	20	3	6.7	25	3	4.6118611667335	19.8945500016212	14	17	12	12	2	0	2	1	0	0	1	1	2	2	2	0	0	0	0	1	0	0	0	2	1	1	2	1	1	1	2	9800	4	4	3	2	2	2	5	2	2	3	2	2	2	5	1	1	3	3	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	2.41379310344828	3.14814814814815	1.7910447761194	2.60198639251307	0	0	0.298507462686567	0	0	0	0.149253731343284	0.216832199376089
"12"	"{071F74A3-0FD2-E811-8FB7-74867AD5B714}"	0	1	1	7	12	1	3	3.4	10	3	4.2	12	2	3.9	14	3	2.76399721459216	7.22566666603088	11	13	13	11	2	3	2	2	3	6	6	0	1	2	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	2	7300	1	3	4	1	2	1	1	1	1	1	1	1	2	5	2	2	2	3	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	3.23529411764706	3.09523809523809	3.33333333333333	3.97974351852706	0	0.238095238095238	0.256410256410256	0	0.882352941176471	1.42857142857143	1.53846153846154	0
"14"	"{09CAC4F7-D8D2-E811-8FB7-74867AD5B714}"	0	1	1	18	12	4	3	2.4	8	2	2.4	8	1	2.6	9	2	2.46359452833276	8.91083333492279	5	5	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	6600	2	5	3	2	2	2	5	2	2	2	2	2	2	3	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	2.08333333333333	2.08333333333333	1.92307692307692	2.02955475931494	0	0	0	0	0	0	0	0
"16"	"{0B4811D4-93C6-E811-914C-74867AD5B714}"	0	1	1	10	16	2	2	7.3	19	3	8.1	20	3	6.8	20	3	6.60283796996291	20.5518833359083	18	27	21	22	4	1	5	4	0	0	0	0	2	2	2	2	0	0	0	0	0	1	1	1	1	1	4	1	1	2	2	12500	3	4	2	2	2	1	4	1	1	1	1	1	1	4	4	2	1	1	3	1	4	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	2.46575342465753	3.33333333333333	3.08823529411765	3.33190063122563	0.136986301369863	0.123456790123457	0.147058823529412	0	0	0	0	0
"17"	"{0C1D8C2A-12E2-E811-8FB7-74867AD5B714}"	0	1	1	20	15	1	3	5.7	23	3	5.4	30	3	5.7	34	3	5.18778293730232	70.8360499978066	13	13	12	12	1	4	3	3	3	2	1	0	1	2	2	2	1	1	0	0	1	0	1	1	2	2	6	2	1	2	2	21500	3	5	1	3	2	1	3	3	1	4	1	1	1	4	4	4	2	1	5	2	2	2	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	2.28070175438596	2.40740740740741	2.10526315789474	2.31312684918157	0	0.185185185185185	0.175438596491228	0.19276057076513	0.526315789473684	0.37037037037037	0.175438596491228	0
"34"	"{160BB759-80CD-E811-914C-74867AD5B714}"	0	1	1	20	15	2	3	5.1	13	2	5.4	14	2	5.3	16	3	3.80938883249998	11.7963333328565	6	8	8	7	1	3	2	1	1	1	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1	1	2	1	1	2	1	8600	1	5	3	2	1	2	5	2	2	3	2	2	3	2	1	1	1	3	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1.17647058823529	1.48148148148148	1.50943396226415	1.8375651076307	0.392156862745098	0	0	0.525018602180199	0.196078431372549	0.185185185185185	0	0.2625093010901
"42"	"{1B8E1A94-98C2-E811-914C-74867AD5B714}"	0	1	1	8	12	1	3	4.8	14	3	4.7	17	3	5.3	18	3	4.6130956407692	14.6347333351771	8	14	8	8	2	2	1	2	0	2	0	0	1	2	1	1	0	0	0	0	0	1	0	0	1	2	2	1	1	2	1	10000	1	3	4	2	2	4	5	4	4	4	2	2	4	3	3	2	2	2	3	1	1	6	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1.66666666666667	2.97872340425532	1.50943396226415	1.73419339701053	0.208333333333333	0	0	0	0	0.425531914893617	0	0
"44"	"{1CEB8473-D4DE-E811-8FB7-74867AD5B714}"	0	1	1	14	14	2	3	6.3	22	3	6.6	25	3	7.6	26	3	6.33638655798182	26.6689500013987	19	19	20	17	4	3	3	4	2	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	2	1	13000	1	5	4	1	2	1	4	1	1	1	1	1	2	5	2	1	1	1	1	1	1	4	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	3.01587301587302	2.87878787878788	2.63157894736842	2.68291712389066	0.158730158730159	0.151515151515152	0.131578947368421	0	0.317460317460317	0	0.131578947368421	0
"45"	"{1CF86FD7-96E2-E811-8FB7-74867AD5B714}"	0	1	1	12	15	1	3	6.7	17	2	6.9	20	3	7.3	21	3	7.08514356867066	20.6709999998411	10	10	14	9	2	2	3	3	0	0	4	0	1	2	1	2	0	0	0	0	2	2	2	0	1	1	4	1	1	1	1	12500	4	4	1	1	2	1	4	1	1	4	1	1	2	4	1	1	3	1	1	1	4	3	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1.49253731343284	1.44927536231884	1.91780821917808	1.2702636033794	0.298507462686567	0.289855072463768	0	0.282280800750979	0	0	0.547945205479452	0
"62"	"{2BA6331C-A0C6-E811-914C-74867AD5B714}"	0	1	1	1	12	1	1	7.1	20	3	8.5	22	3	7.3	25	3	7.46795409376879	23.3891666650772	12	11	19	21	3	2	4	3	0	0	0	0	1	1	2	2	0	0	0	0	0	1	0	0	2	1	2	2	1	2	1	13000	3	1	2	5	2	2	3	2	2	2	2	3	2	5	2	2	2	1	2	3	1	4	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1.69014084507042	1.29411764705882	2.6027397260274	2.8120151431464	0.140845070422535	0	0	0	0	0	0	0
"65"	"{2C98D15C-8366-E811-95E4-74867AD5B714}"	0	1	1	25	10	0	4	6	17	3	4.5	20	3	4.9	22	3	5.42730943222081	12.7379999995232	9	16	17	9	1	3	2	0	1	2	3	0	1	2	2	1	0	0	0	0	0	0	0	0	1	1	5	1	1	1	1	9900	1	5	1	1	2	1	3	1	1	1	4	1	2	3	4	4	5	5	3	5	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1.5	3.55555555555556	3.46938775510204	1.65828024224469	0	0	0	0	0.166666666666667	0.444444444444444	0.612244897959184	0
"66"	"{2CA75D4B-DBC5-E811-914C-74867AD5B714}"	0	1	1	3	12	1	3	5.1	15	2	7.3	16	2	6.7	18	2	4.73736064190911	17.7182666699092	13	11	11	13	4	4	4	4	1	1	1	1	2	2	2	2	0	0	0	0	0	0	0	0	1	1	1	1	1	2	1	9500	1	2	4	1	2	1	4	1	1	1	1	1	2	5	2	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	2.54901960784314	1.50684931506849	1.64179104477612	2.7441440461584	0	0	0	0	0.196078431372549	0.136986301369863	0.149253731343284	0.211088003550646
"68"	"{2D736D0E-A2DC-E811-8FB7-74867AD5B714}"	0	1	1	28	15	1	3	6.6	23	3	6.7	27	3	6.5	26	3	5.91130071093373	33.6188999970754	8	19	17	16	2	3	2	2	2	0	2	1	1	1	1	1	0	0	0	0	0	1	0	0	1	2	3	1	1	2	1	14000	3	5	3	3	2	1	4	3	1	1	1	1	3	4	1	1	3	2	1	1	1	6	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1.21212121212121	2.83582089552239	2.61538461538462	2.70668010010147	0.151515151515152	0	0	0	0.303030303030303	0	0.307692307692308	0.169167506256342
"75"	"{33DEF5A1-5DE8-E811-8FB7-74867AD5B714}"	0	1	1	25	15	1	3	6.4	29	3	6.3	30	3	6.7	30	3	6.00751792225942	39.7268333355586	11	8	6	16	1	1	2	2	0	0	0	3	2	2	2	2	0	0	0	0	1	1	1	0	2	2	6	1	1	2	2	14400	4	5	5	2	2	4	5	2	2	5	2	2	4	3	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1.71875	1.26984126984127	0.895522388059702	2.66332954924959	0.15625	0.158730158730159	0	0.166458096828099	0	0	0	0.499374290484298
"96"	"{47212798-FAEB-E811-8FB7-74867AD5B714}"	0	1	1	35	12	1	3	5.2	16	2	7.5	21	3	5.2	16	0	7.9856613284706	18.8832833329837	13	13	13	15	2	3	999	2	1	1	1	1	2	2	999	2	0	1	0	999	0	0	0	1	1	2	4	1	1	1	2	10400	1	5	4	2	2	1	4	2	1	2	1	1	2	2	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	2.5	1.73333333333333	2.5	1.87836666031926	0	0	0.192307692307692	0	0.192307692307692	0.133333333333333	0.192307692307692	0.125224444021284
"109"	"{4FBD7528-FBE8-E811-8FB7-74867AD5B714}"	0	1	1	8	14	1	2	5.5	17	3	6.1	21	3	7.2	26	3	4.62833208804925	15.8730666677157	8	14	9	11	2	0	2	2	0	0	0	0	2	2	1	1	0	0	0	0	1	1	1	1	1	1	2	1	1	2	1	9200	1	3	5	2	1	2	5	2	2	3	2	2	3	2	1	1	3	3	1	1	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1.45454545454545	2.29508196721312	1.25	2.37666610578851	0.181818181818182	0.163934426229508	0.138888888888889	0.216060555071682	0	0	0	0
"115"	"{514E2B7D-02D6-E811-8FB7-74867AD5B714}"	0	1	1	20	14	1	3	4.8	14	2	5.3	17	2	6.5	18	2	4.56210227379283	15.5092333316803	14	13	15	14	3	2	3	3	0	0	0	0	2	2	1	2	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	9300	1	5	4	1	2	1	2	1	1	1	1	1	2	5	3	1	3	3	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	2.91666666666667	2.45283018867925	2.30769230769231	3.06876066335109	0	0	0	0	0	0	0	0
