"ViajeId"	"MUESTRA"	"VALIDAR"	"GENERO"	"TIEMPO_PROFESION"	"HORAS_TRABAJO"	"NIVEL_EDUCATIVO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"CONG_A1"	"DISTAlt2"	"TIEMPOAlt2"	"CONG_A2"	"DISTAlt3"	"TIEMPOAlt3"	"CONG_A3"	"DISTEC"	"TIEMPOEC"	"Semaf_A1"	"Semaf_A2"	"Semaf_A3"	"Semaf_EC"	"CamFD_A1"	"CamFD_A2"	"CamFD_A3"	"CamFD_EC"	"ZER_A1"	"ZER_A2"	"ZER_A3"	"ZER_EC"	"MtrP_A1"	"MtrP_A2"	"MtrP_A3"	"MtrP_EC"	"Acc_EC"	"Acc_A1"	"Acc_A2"	"Acc_A3"	"Paneles_EC"	"Paneles_A1"	"Paneles_A2"	"Paneles_A3"	"INFOTRAFICO"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"COSTO"	"CHOICE"	"Experiencia"	"PasoPeaton"	"UsoPito"	"CinSeg"	"FRbr"	"UsoDirec"	"EnfCond"	"AFrSem"	"CulFr"	"OmLmVel"	"IgPare"	"UsoCel"	"ComVrb"	"Ans"	"ComAfec"	"PrPer"	"AmbTr"	"StrC"	"ConCl"	"DispMob"
"1"	"{00793F3F-F1CC-E811-914C-74867AD5B714}"	0	1	1	10	14	1	4	10.1	24	"2"	11.1	27	"3"	8.4	30	"3"	7.73476294124306	22.1199999968211	21	20	21	18	3	2	5	5	0	0	1	0	2	2	1	1	0	0	0	0	0	2	0	0	1	"2"	"2"	"1"	"1"	"2"	"1"	14800	3	4	5	2	1	2	4	2	2	2	2	2	4	1	3	2	2	2	3	1	3
"2"	"{01023F7A-67C3-E811-914C-74867AD5B714}"	1	0	1	21	10	0	3	8	24	"3"	7.2	28	"3"	6.8	29	"3"	5.97650183766384	52.4813833316167	20	19	13	8	5	4	1	0	3	3	0	5	2	2	2	2	1	4	0	0	0	1	1	1	1	"1"	"6"	"1"	"2"	"2"	"2"	15900	3	5	4	4	2	2	5	2	2	4	2	2	5	3	4	2	2	4	3	2	1
"3"	"{01579974-02D2-E811-8FB7-74867AD5B714}"	0	1	1	10	12	4	2	5.8	18	"3"	5.4	20	"3"	6.7	25	"3"	4.6118611667335	19.8945500016212	14	17	12	12	2	0	2	1	0	0	1	1	2	2	2	0	0	0	0	1	0	0	0	2	1	"1"	"2"	"1"	"1"	"1"	"2"	9800	4	4	3	2	2	2	5	2	2	3	2	2	2	5	1	1	3	3	1	1	1
"4"	"{019DE0D5-31C0-E811-914C-74867AD5B714}"	1	0	1	12	12	1	2	9.8	17	"0"	8.7	18	"0"	8.4	26	"0"	7.25357902960908	21.357216668129	8	14	14	17	3	4	3	4	5	1	0	9	1	2	2	1	0	0	0	0	0	1	2	1	1	"1"	"2"	"1"	"1"	"2"	"1"	15200	4	4	1	2	2	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1
"5"	"{0221C89B-CED2-E811-8FB7-74867AD5B714}"	1	0	1	10	8	2	3	6.3	18	"3"	7.4	21	"3"	7.6	23	"2"	6.25408258109686	18.2935499986013	17	14	21	17	2	3	2	2	1	3	4	1	2	2	1	2	0	0	0	0	0	0	1	0	1	"1"	"1"	"1"	"1"	"1"	"2"	11500	1	4	3	3	2	1	4	3	1	1	1	1	3	5	1	2	2	2	2	1	1
"6"	"{0275F221-8CC6-E811-914C-74867AD5B714}"	1	0	1	15	13	4	4	4.6	16	"2"	5.2	20	"3"	5.1	28	"3"	4.78786320352643	35.2122833331426	6	9	14	6	0	0	1	1	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	1	2	"1"	"6"	"1"	"2"	"2"	"1"	12000	4	5	4	4	2	4	5	4	2	4	2	2	2	1	4	2	1	1	3	3	1
"7"	"{03DF384B-A6D8-E811-8FB7-74867AD5B714}"	1	0	1	2	10	1	2	5.2	26	"3"	5.6	29	"3"	5.9	33	"3"	5.38568444871494	25.9026000022888	6	11	11	7	1	2	2	1	6	6	6	6	1	2	2	1	0	0	0	0	0	0	0	1	1	"1"	"5"	"1"	"1"	"2"	"2"	11600	1	1	2	2	2	1	4	1	1	2	1	1	1	5	1	1	1	1	1	1	5
"8"	"{04857B76-DDC0-E811-914C-74867AD5B714}"	1	0	1	6	10	1	2	7.8	17	"0"	6.7	18	"0"	7.1	19	"0"	5.5117573711736	14.9695000012716	12	13	16	12	2	4	3	3	3	2	7	0	1	0	2	2	0	1	0	0	1	1	0	1	2	"1"	"1"	"1"	"1"	"1"	"1"	11500	2	3	1	1	2	4	2	1	2	2	1	1	2	5	5	1	1	2	2	5	3
"9"	"{04B1F452-BDC5-E811-914C-74867AD5B714}"	1	0	1	15	12	4	2	5.1	11	"2"	5.4	16	"3"	5.3	17	"3"	4.34436271383387	24.1902833342552	5	7	8	8	1	3	2	2	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	"1"	"2"	"1"	"2"	"2"	"1"	9000	3	5	4	2	2	2	5	2	2	4	2	2	4	2	1	3	1	1	1	1	1
"10"	"{04C56E00-AAD3-E811-8FB7-74867AD5B714}"	1	0	1	25	12	1	3	6.1	17	"2"	5.8	17	"2"	5.7	19	"3"	5.36099042527625	17.3442666649818	10	10	10	10	1	3	1	3	8	2	1	2	1	2	2	0	0	0	0	0	1	0	1	1	2	"1"	"2"	"1"	"1"	"1"	"1"	10800	2	5	4	1	2	2	2	1	1	2	1	1	2	5	2	4	2	2	3	1	3
"11"	"{051C17B0-41DC-E811-8FB7-74867AD5B714}"	1	0	1	10	14	4	3	6.4	17	"2"	6.1	17	"3"	6.3	19	"3"	6.10252462287688	16.7100666681925	11	13	15	17	6	3	3	5	2	2	2	3	2	2	2	2	0	0	0	1	1	1	0	1	1	"1"	"5"	"1"	"1"	"1"	"2"	11000	4	4	3	3	2	1	4	3	1	3	1	1	3	1	1	1	1	1	1	3	1
"12"	"{071F74A3-0FD2-E811-8FB7-74867AD5B714}"	0	1	1	7	12	1	3	3.4	10	"3"	4.2	12	"2"	3.9	14	"3"	2.76399721459216	7.22566666603088	11	13	13	11	2	3	2	2	3	6	6	0	1	2	1	1	1	0	0	0	0	0	1	1	1	"1"	"1"	"1"	"1"	"1"	"2"	7300	1	3	4	1	2	1	1	1	1	1	1	1	2	5	2	2	2	3	1	1	1
"13"	"{08C503A7-58E8-E811-8FB7-74867AD5B714}"	1	0	1	22	16	1	3	4.9	18	"3"	0	0	"0"	0	0	"0"	4.37178317857192	19.6127166668574	11	999	999	9	2	999	999	2	0	999	999	0	2	999	999	1	0	0	999	999	0	0	999	999	2	"2"	"2"	"1"	"1"	"2"	"1"	9500	4	5	5	2	1	2	3	2	2	2	2	2	3	5	1	1	2	1	3	1	3
"14"	"{09CAC4F7-D8D2-E811-8FB7-74867AD5B714}"	0	1	1	18	12	4	3	2.4	8	"2"	2.4	8	"1"	2.6	9	"2"	2.46359452833276	8.91083333492279	5	5	5	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"1"	"1"	"1"	"1"	"1"	"2"	6600	2	5	3	2	2	2	5	2	2	2	2	2	2	3	1	1	1	1	1	1	1
"15"	"{0AFFFCBB-0AD2-E811-8FB7-74867AD5B714}"	1	0	1	10	14	1	3	5.4	14	"2"	5.5	14	"2"	5.6	16	"2"	5.30979527223473	20.4150666673978	10	15	16	15	2	3	4	3	3	4	2	4	1	1	2	1	1	0	0	0	1	0	1	1	2	"1"	"2"	"1"	"1"	"1"	"2"	11500	4	4	4	1	2	1	4	1	1	1	1	1	3	5	2	2	2	2	2	1	1
"16"	"{0B4811D4-93C6-E811-914C-74867AD5B714}"	0	1	1	10	16	2	2	7.3	19	"3"	8.1	20	"3"	6.8	20	"3"	6.60283796996291	20.5518833359083	18	27	21	22	4	1	5	4	0	0	0	0	2	2	2	2	0	0	0	0	0	1	1	1	1	"1"	"4"	"1"	"1"	"2"	"2"	12500	3	4	2	2	2	1	4	1	1	1	1	1	1	4	4	2	1	1	3	1	4
"17"	"{0C1D8C2A-12E2-E811-8FB7-74867AD5B714}"	0	1	1	20	15	1	3	5.7	23	"3"	5.4	30	"3"	5.7	34	"3"	5.18778293730232	70.8360499978066	13	13	12	12	1	4	3	3	3	2	1	0	1	2	2	2	1	1	0	0	1	0	1	1	2	"2"	"6"	"2"	"1"	"2"	"2"	21500	3	5	1	3	2	1	3	3	1	4	1	1	1	4	4	4	2	1	5	2	2
"18"	"{0C1FF5E1-42CE-E811-914C-74867AD5B714}"	1	0	1	20	8	4	4	5.4	16	"3"	5.5	17	"3"	5.2	20	"3"	5.73121367198812	23.1963333328565	11	14	16	15	2	2	3	2	3	3	2	2	2	1	1	1	0	0	0	0	0	1	1	1	1	"1"	"6"	"1"	"1"	"2"	"1"	9500	4	5	3	3	2	3	4	3	3	3	1	1	3	2	4	2	3	3	3	2	1
"19"	"{0C97D2B2-DCD3-E811-8FB7-74867AD5B714}"	1	0	2	8	12	1	3	7.6	21	"3"	7	23	"3"	7.2	23	"3"	5.65309412435009	14.4128999988238	6	8	12	9	4	3	2	0	8	9	10	0	2	2	2	2	0	0	0	0	1	1	0	1	1	"1"	"1"	"1"	"1"	"2"	"1"	14000	4	3	4	1	2	1	1	1	1	1	1	1	3	5	3	1	1	1	3	1	3
"20"	"{0D4FE76E-4AE4-E811-8FB7-74867AD5B714}"	1	0	1	15	12	4	3	7.3	21	"3"	6.9	20	"3"	7.8	22	"3"	7.2701031829413	24.201166665554	14	17	15	20	3	2	1	3	0	0	0	0	1	1	1	2	0	0	0	0	0	1	1	1	1	"1"	"2"	"1"	"1"	"2"	"1"	10800	4	5	4	1	2	1	2	1	1	2	1	2	3	2	1	1	3	3	1	1	1
"21"	"{0D5CB44F-00E5-E811-8FB7-74867AD5B714}"	1	0	1	4	12	1	1	1.8	5	"4"	0	0	"0"	0	0	"0"	2.02278372741952	4.32483333349228	1	999	999	2	0	999	999	1	0	999	999	0	0	999	999	0	0	0	999	999	1	0	999	999	1	"1"	"1"	"1"	"1"	"1"	"1"	6300	4	2	5	2	1	2	3	2	2	2	2	2	4	5	1	2	2	1	1	1	3
"22"	"{0E557454-B5C1-E811-914C-74867AD5B714}"	1	0	1	6	12	1	1	11.2	25	"2"	11.3	26	"2"	10.9	27	"3"	10.1168377793121	21.5533333341281	12	16	13	11	5	5	6	5	10	10	10	10	1	1	1	1	0	0	0	0	1	2	0	1	1	"1"	"2"	"1"	"1"	"2"	"1"	17800	1	3	2	2	1	2	1	2	2	2	2	2	2	3	2	2	1	1	1	1	1
"23"	"{0E9A8C89-9CE9-E811-8FB7-74867AD5B714}"	1	0	1	25	15	4	4	6.6	20	"3"	6.7	20	"3"	8.1	23	"2"	6.24646435179677	21.4881000002225	7	9	14	10	1	1	3	0	0	0	0	0	1	1	0	2	0	0	0	0	1	1	2	1	1	"1"	"3"	"1"	"1"	"1"	"2"	11800	1	5	4	1	2	1	4	1	1	2	1	1	2	4	1	1	1	1	1	1	1
"24"	"{0F4A62A6-6EDF-E811-8FB7-74867AD5B714}"	1	0	1	18	11	1	2	3.6	10	"2"	0	0	"0"	0	0	"0"	3.15221163699731	5.86423333088557	5	999	999	5	0	999	999	1	5	999	999	0	0	999	999	0	0	0	999	999	0	0	999	999	1	"1"	"1"	"1"	"1"	"1"	"1"	7400	4	5	4	2	2	2	5	2	2	2	4	2	4	5	2	1	2	5	3	1	1
"25"	"{101A1466-CB5B-E811-95E4-74867AD5B714}"	1	0	1	20	10	1	3	6.6	22	"3"	8.8	27	"2"	0	0	"0"	6.22314724893921	25.3781666636467	17	25	999	13	2	7	999	1	0	1	999	0	1	2	999	1	0	0	1	999	1	1	0	999	1	"2"	"4"	"2"	"1"	"2"	"1"	11300	1	5	1	2	2	1	2	2	2	4	4	2	2	2	4	4	4	4	2	3	0
"26"	"{102924FF-74E3-E811-8FB7-74867AD5B714}"	1	0	1	12	10	1	3	4.2	14	"2"	5.1	18	"2"	6	16	"2"	3.54738638044935	14.0485500017802	11	9	12	9	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	"1"	"1"	"1"	"1"	"1"	"1"	10500	4	4	4	2	2	4	2	4	4	4	2	2	4	2	4	3	2	2	5	1	1
"27"	"{116C5EFA-C6C5-E811-914C-74867AD5B714}"	1	0	1	20	14	1	3	5	14	"3"	5.9	16	"3"	5.3	15	"3"	5.35162929150614	20.4066666682561	3	13	8	8	3	4	3	3	6	1	0	1	1	2	1	2	0	0	0	0	0	0	0	0	1	"1"	"3"	"1"	"1"	"2"	"2"	10800	3	5	3	1	2	1	4	1	1	3	1	1	2	4	1	1	1	5	1	1	1
"28"	"{11EF8DD3-11DD-E811-8FB7-74867AD5B714}"	1	0	1	3	8	4	2	5.7	19	"3"	5.9	19	"3"	5.9	22	"3"	6.36603958238424	23.9391666650772	17	17	19	18	4	2	5	3	1	1	0	1	2	2	2	1	0	0	0	0	0	0	0	0	1	"1"	"2"	"1"	"1"	"1"	"1"	12500	4	2	3	5	2	3	5	2	3	5	3	2	4	1	5	4	2	1	4	4	1
"29"	"{13ECA564-E8D7-E811-8FB7-74867AD5B714}"	1	0	1	12	14	2	3	3	9	"2"	3	14	"4"	4.6	17	"3"	2.54612260750997	11.8005499998728	4	4	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	"2"	"2"	"1"	"1"	"2"	"2"	6500	2	4	4	1	2	1	4	1	1	1	1	1	3	5	2	1	2	2	1	1	2
"30"	"{14C5A5D6-2FDD-E811-8FB7-74867AD5B714}"	1	0	1	10	12	1	2	4.2	8	"3"	4.5	15	"3"	4.8	15	"3"	4.00758480174602	18.6805499990781	2	6	10	7	1	2	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	"1"	"2"	"1"	"1"	"2"	"1"	9800	4	4	4	1	2	1	4	1	1	1	1	1	3	5	2	1	3	4	2	1	1
"31"	"{14ECDC53-57E7-E811-8FB7-74867AD5B714}"	1	0	1	1	18	1	3	5.8	15	"3"	5.6	17	"3"	7.4	18	"3"	3.15650373100609	18.1158333301544	6	10	9	25	1	2	1	2	6	0	6	2	1	2	1	2	1	0	0	0	0	0	0	1	1	"1"	"2"	"1"	"1"	"1"	"1"	10900	4	1	4	1	1	1	2	1	1	1	1	1	2	5	4	2	1	3	5	1	1
"32"	"{153C09B2-78E8-E811-8FB7-74867AD5B714}"	1	0	1	0.5	6	4	2	7	20	"3"	7.8	23	"2"	8.4	29	"3"	5.0934231312904	15.7068833311399	10	18	10	11	2	5	2	2	0	0	6	0	0	0	0	0	0	0	0	0	1	1	0	0	1	"1"	"1"	"1"	"1"	"2"	"1"	11000	1	1	5	2	2	2	3	2	2	2	2	2	2	5	4	3	2	2	1	1	1
"33"	"{15FA02A6-ADCC-E811-914C-74867AD5B714}"	1	0	1	20	12	2	3	6.5	19	"3"	7.8	20	"2"	6.6	27	"3"	7.01179764902764	23.269883330663	14	13	19	14	2	3	3	0	0	1	0	1	1	1	2	1	0	0	0	0	0	1	1	0	1	"1"	"3"	"1"	"1"	"2"	"1"	13000	1	5	5	2	2	2	5	2	2	4	2	2	2	5	1	1	1	1	1	1	5
"34"	"{160BB759-80CD-E811-914C-74867AD5B714}"	0	1	1	20	15	2	3	5.1	13	"2"	5.4	14	"2"	5.3	16	"3"	3.80938883249998	11.7963333328565	6	8	8	7	1	3	2	1	1	1	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1	"1"	"2"	"1"	"1"	"2"	"1"	8600	1	5	3	2	1	2	5	2	2	3	2	2	3	2	1	1	1	3	1	1	1
"35"	"{164EE8A2-76BE-E811-914C-74867AD5B714}"	1	0	1	28	12	1	3	3.6	10	"2"	0	0	"0"	0	0	"0"	2.39929725460373	6.57099999984105	16	999	999	10	2	999	999	1	4	999	999	0	1	999	999	0	0	0	999	999	0	0	999	999	1	"1"	"1"	"1"	"1"	"1"	"1"	8900	1	5	4	2	1	2	5	2	2	2	2	4	2	2	1	2	1	2	1	2	1
"36"	"{16644C52-46C0-E811-914C-74867AD5B714}"	1	0	1	1	16	3	2	8	20	"3"	7.5	22	"3"	7.3	22	"3"	7.06357971415996	35.5969500025113	13	8	20	8	6	4	6	4	0	0	0	0	2	2	2	2	0	1	1	1	1	1	0	0	1	"1"	"6"	"1"	"2"	"2"	"2"	13800	3	1	4	1	2	1	4	1	2	2	1	1	1	2	4	3	3	3	2	2	3
"37"	"{16920B97-86E2-E811-8FB7-74867AD5B714}"	1	0	1	6	14	1	4	5.7	20	"3"	5.8	22	"3"	6.4	22	"3"	6.39574423991573	26.7703833301862	18	17	25	21	2	3	1	2	0	1	0	0	1	1	2	2	0	0	0	0	0	1	1	0	1	"1"	"6"	"1"	"1"	"1"	"2"	12300	4	3	2	2	1	1	4	1	1	2	1	1	3	3	1	1	1	1	1	1	1
"38"	"{18AE6C83-17A7-E811-BDF0-74867AD5B714}"	1	0	1	2	12	1	3	5.3	11	"1"	5.4	13	"2"	6	15	"3"	3.80144723851796	13.2478833357493	6	7	6	999	2	1	2	999	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	"1"	"3"	"1"	"1"	"2"	"1"	8000	4	1	2	5	2	4	4	2	2	4	4	4	2	1	4	4	2	1	3	3	0
"39"	"{18C72602-3CDC-E811-8FB7-74867AD5B714}"	1	0	1	0.5	12	4	3	4.8	16	"2"	5.2	18	"2"	5.9	16	"2"	5.64549274090123	14.8357333342234	14	12	12	12	1	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	"1"	"5"	"1"	"1"	"1"	"2"	10800	3	1	2	2	2	1	4	2	1	2	1	1	2	2	1	3	2	3	2	4	1
"40"	"{19234B93-DC53-E811-884F-74867AD5B714}"	1	0	1	0.5	10	1	2	5.7	12	"3"	5.6	16	"3"	6	21	"3"	6.2928990893376	16.3699333349864	5	7	15	7	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	2	1	1	2	2	1	"2"	"5"	"2"	"1"	"2"	"2"	11200	2	1	2	5	1	3	3	3	3	5	5	5	4	4	3	4	2	1	3	4	4
"41"	"{1A27CCF2-1FCF-E811-914C-74867AD5B714}"	1	0	1	15	10	4	3	7	15	"1"	7.2	16	"2"	7.6	16	"2"	7.09674130805823	15.2309999982516	7	9	7	7	3	5	3	3	2	4	1	2	2	2	2	2	0	0	0	0	0	0	1	1	1	"1"	"1"	"1"	"1"	"2"	"1"	12100	1	5	3	1	2	1	4	1	1	3	1	1	2	3	1	1	1	1	1	1	1
"42"	"{1B8E1A94-98C2-E811-914C-74867AD5B714}"	0	1	1	8	12	1	3	4.8	14	"3"	4.7	17	"3"	5.3	18	"3"	4.6130956407692	14.6347333351771	8	14	8	8	2	2	1	2	0	2	0	0	1	2	1	1	0	0	0	0	0	1	0	0	1	"2"	"2"	"1"	"1"	"2"	"1"	10000	1	3	4	2	2	4	5	4	4	4	2	2	4	3	3	2	2	2	3	1	1
"43"	"{1C22F1B4-92C9-E811-914C-74867AD5B714}"	1	0	1	15	12	1	4	3	8	"2"	2.9	10	"3"	3.2	14	"3"	2.53262021203206	6.53450000286102	3	5	5	3	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	1	"1"	"1"	"1"	"1"	"2"	"1"	6500	1	5	3	1	2	1	4	1	1	1	3	1	3	5	1	1	2	2	1	1	1
"44"	"{1CEB8473-D4DE-E811-8FB7-74867AD5B714}"	0	1	1	14	14	2	3	6.3	22	"3"	6.6	25	"3"	7.6	26	"3"	6.33638655798182	26.6689500013987	19	19	20	17	4	3	3	4	2	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	"1"	"1"	"1"	"1"	"2"	"1"	13000	1	5	4	1	2	1	4	1	1	1	1	1	2	5	2	1	1	1	1	1	1
"45"	"{1CF86FD7-96E2-E811-8FB7-74867AD5B714}"	0	1	1	12	15	1	3	6.7	17	"2"	6.9	20	"3"	7.3	21	"3"	7.08514356867066	20.6709999998411	10	10	14	9	2	2	3	3	0	0	4	0	1	2	1	2	0	0	0	0	2	2	2	0	1	"1"	"4"	"1"	"1"	"1"	"1"	12500	4	4	1	1	2	1	4	1	1	4	1	1	2	4	1	1	3	1	1	1	4
"46"	"{1D50AE02-10CC-E811-914C-74867AD5B714}"	1	0	1	15	12	1	2	6.7	25	"3"	6.9	28	"3"	6.2	26	"3"	6.47320523924045	29.7498999993006	21	18	28	23	5	4	4	4	0	0	0	0	2	2	1	1	1	0	0	0	0	0	0	0	2	"2"	"2"	"1"	"1"	"2"	"2"	12600	1	5	4	1	1	1	4	1	1	1	1	1	2	5	2	1	2	1	2	1	4
"47"	"{1DA55572-BD69-E811-95E4-74867AD5B714}"	1	0	1	3	10	1	2	4.5	18	"3"	6	19	"2"	5.7	19	"2"	4.64159732382637	11.8507333358129	6	9	8	6	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	"1"	"4"	"1"	"1"	"2"	"1"	8800	4	2	4	4	1	4	4	4	4	4	2	4	2	3	1	2	3	5	2	3	0
"48"	"{1E6D39FA-95BE-E811-914C-74867AD5B714}"	1	0	1	18	12	1	2	4.5	16	"2"	4.6	15	"2"	5.3	15	"2"	2.630331288637	10.1517833352089	9	12	4	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	"1"	"1"	"2"	"1"	"2"	"1"	8500	1	5	1	1	2	2	4	1	2	1	1	1	1	2	3	3	1	1	5	4	1
"49"	"{1EEE8B83-20D7-E811-8FB7-74867AD5B714}"	1	0	1	0.5	12	1	3	5.5	17	"3"	4.7	20	"3"	5.9	21	"3"	4.38749730530849	16.7344000021617	7	13	15	13	1	0	0	0	0	0	0	2	2	2	2	2	0	0	0	0	0	0	0	0	1	"2"	"2"	"1"	"1"	"2"	"1"	10500	2	1	1	4	1	2	2	1	2	2	1	2	2	1	5	3	2	2	5	2	1
"50"	"{20476B39-38C0-E811-914C-74867AD5B714}"	1	0	1	4	13	2	1	3.4	11	"3"	3.3	15	"3"	3.9	16	"3"	2.25792978352373	8.22833333412806	10	10	11	6	2	2	2	1	3	1	10	0	1	1	2	1	0	0	0	0	0	0	0	1	2	"1"	"1"	"1"	"1"	"2"	"1"	6000	1	2	1	1	2	1	4	1	1	1	1	1	1	5	5	4	1	2	1	1	3
"51"	"{20BDF31E-4DC3-E811-914C-74867AD5B714}"	1	0	1	13	14	1	2	5.8	18	"3"	0	0	"0"	0	0	"0"	4.79854997903428	17.8704333345095	11	999	999	14	3	999	999	1	0	999	999	0	2	999	999	2	0	0	999	999	1	1	999	999	1	"1"	"3"	"1"	"1"	"2"	"1"	10300	1	5	2	5	2	4	4	5	4	4	2	4	4	3	2	2	2	3	2	1	1
"52"	"{214A69B7-9CC6-E811-914C-74867AD5B714}"	1	0	1	15	12	1	2	5.7	15	"3"	4.3	16	"3"	5.5	14	"2"	4.14609453488178	15.668666668733	18	10	14	14	4	1	3	2	0	0	0	1	2	1	2	2	0	0	0	0	0	0	0	0	1	"1"	"2"	"1"	"1"	"2"	"2"	9300	2	5	1	4	2	3	3	4	1	3	1	1	3	5	2	1	1	1	3	1	5
"53"	"{23F0FAB8-1891-E811-A983-74867AD5B714}"	1	0	1	1	15	1	3	5.7	18	"3"	6.6	22	"3"	7.5	32	"3"	6.24985553793692	20.7561166644096	14	12	23	14	2	2	4	2	0	1	2	0	2	2	2	2	0	0	1	1	0	0	1	1	1	"2"	"4"	"2"	"1"	"2"	"1"	10000	1	1	2	4	2	4	4	5	4	4	5	4	4	2	4	3	2	4	5	3	0
"54"	"{24059CC8-75CD-E811-914C-74867AD5B714}"	1	0	1	35	14	1	3	4.3	15	"3"	5.7	17	"3"	5.5	18	"3"	4.38871899411864	31.9890499989192	17	20	11	17	3	4	2	3	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	1	"1"	"2"	"1"	"1"	"1"	"1"	9500	1	5	2	2	2	1	4	1	1	2	1	1	1	2	2	2	1	1	2	2	3
